Street_Number,Street_Name,Street_Side,Skytrain_Station_Name,BIA,Number_of_Racks,Year_Installed,Latitude,Longitude,Full_Name
2931,Cambie St,West,,CB,1,2016,49.2591674,-123.1152894,2931 Cambie St
4099,Cambie St,West,King Edward,,22,2012,49.24920849999999,-123.1156944,4099 Cambie St
511,Carrall St,West,,,2,2012,49.28038,-123.1045606,511 Carrall St
1700,Comox St,North,,,3,2010,49.2876653,-123.1381018,1700 Comox St
2210,Cornwall Av,South,,,2,2015,49.2723516,-123.1553903,2210 Cornwall Av
1202,Davie St,South,,,1,Prior 2010,49.2817883,-123.1335975,1202 Davie St
1295,Davie St,North,,,1,2015,49.2826812,-123.1342185,1295 Davie St
745,Denman St,West,,,1,Prior 2010,49.292057,-123.134919,745 Denman St
1055,Denman St,West,,WE,2,2013,49.288883,-123.1396764,1055 Denman St
1187,Denman St,West,,,1,Prior 2010,49.2878279,-123.1412859,1187 Denman St
3204,Dunbar St,East,,,1,Prior 2010,49.257841,-123.185105,3204 Dunbar St
3308,Dunbar St,East,,,1,Prior 2010,49.2572195,-123.1847707,3308 Dunbar St
4231,Dunbar St,West,,,1,Prior 2010,49.2486793,-123.1854813,4231 Dunbar St
4467,Dunbar St,West,,,1,Prior 2010,49.24648440000001,-123.1855024,4467 Dunbar St
37,Dunlevy Av,West,,STRC,1,2012,49.2847026,-123.0954248,37 Dunlevy Av
37,Dunlevy Av,West,,STRC,1,2013,49.2847026,-123.0954248,37 Dunlevy Av
211,Dunlevy Av,West,,,2,2012,49.2828172,-123.0954924,211 Dunlevy Av
1909,E Hastings St,North,,,1,Prior 2010,49.2814175,-123.0651391,1909 E Hastings St
2296,E Hastings St,South,,STRC,1,2014,49.2810265,-123.0580193,2296 E Hastings St
2342,E Hastings St,South,,,1,Prior 2010,49.2810083,-123.057106,2342 E Hastings St
2465,E Hastings St,North,,HN,1,2013,49.28129490000001,-123.055357,2465 E Hastings St
3469,Fraser St,West,,,1,2013,49.2540841,-123.0902914,3469 Fraser St
4287,Fraser St,West,,,2,2013,49.2466853,-123.0903819,4287 Fraser St
4950,Fraser St,East,,,1,2012,49.23972089999999,-123.090157,4950 Fraser St
5955,Fraser St,West,,,1,2015,49.2305208,-123.0908863,5955 Fraser St
5965,Fraser St,West,,,1,2015,49.230441,-123.0908226,5965 Fraser St
6434,Fraser St,East,,SHL,1,2011,49.22617,-123.0905544,6434 Fraser St
2888,Granville St,East,,SGV,1,2013,49.2599573,-123.1382727,2888 Granville St
2997,Granville St,West,,SGV,1,2013,49.2590248,-123.1389486,2997 Granville St
8324,Granville St,East,,MRP,1,2012,49.2106149,-123.1400935,8324 Granville St
8630,Granville St,East,,MRP,1,2012,49.2081035,-123.1400625,8630 Granville St
2500,Heather St,East,,,1,2012,49.2633939,-123.1197223,2500 Heather St
